PARTICIPANTIDENTIFIER,time,action,p_send
MDH-0000-3900,2024-07-09 20:00:00+00:00,1,0.7806184488135035
MDH-0000-5795,2024-07-09 19:00:00+00:00,1,0.38595603446798254
MDH-0001-5834,2024-07-09 20:00:00+00:00,1,0.15285028629203645
MDH-0008-0746,2024-07-09 19:00:00+00:00,0,0.15559214674122634
MDH-0015-9817,2024-07-09 22:00:00+00:00,0,0.04455911716734256
MDH-0025-5702,2024-07-09 19:00:00+00:00,1,0.22643627127315796
MDH-0025-7530,2024-07-09 19:00:00+00:00,0,0.14648869361332584
MDH-0027-2714,2024-07-09 19:00:00+00:00,0,0.043730482618474
MDH-0071-9232,2024-07-09 19:00:00+00:00,0,0.0409030723733789
MDH-0084-7389,2024-07-09 19:00:00+00:00,0,0.04197101305687521
MDH-0104-4053,2024-07-09 20:00:00+00:00,0,0.14720290349506515
MDH-0110-2314,2024-07-09 20:00:00+00:00,0,0.8695050891089118
MDH-0111-1880,2024-07-09 20:00:00+00:00,0,0.22192651072754538
MDH-0113-9465,2024-07-09 19:00:00+00:00,0,0.21276620651196165
MDH-0116-4225,2024-07-09 19:00:00+00:00,0,0.10043182187197508
MDH-0117-5445,2024-07-09 19:00:00+00:00,0,0.2701945337714712
MDH-0157-0653,2024-07-09 22:00:00+00:00,0,0.03775894256302455
MDH-0164-6819,2024-07-09 22:00:00+00:00,0,0.039357783339916276
MDH-0166-2419,2024-07-09 19:00:00+00:00,1,0.34989719193330715
MDH-0166-6850,2024-07-09 19:00:00+00:00,1,0.7668950405449813
MDH-0174-6319,2024-07-09 20:00:00+00:00,0,0.04127501716907591
MDH-0191-8145,2024-07-09 19:00:00+00:00,0,0.2492855005890845
MDH-0196-3492,2024-07-09 19:00:00+00:00,0,0.34632259624176237
MDH-0250-0322,2024-07-09 19:00:00+00:00,0,0.13498613714839058
MDH-0253-5891,2024-07-09 20:00:00+00:00,0,0.31991329363927723
MDH-0259-9386,2024-07-09 19:00:00+00:00,0,0.08180387561607705
MDH-0265-4204,2024-07-09 19:00:00+00:00,1,0.7961824951716061
MDH-0277-8126,2024-07-09 19:00:00+00:00,0,0.30636171685177344
MDH-0292-0375,2024-07-09 19:00:00+00:00,1,0.3970940409361331
MDH-0306-0672,2024-07-09 00:00:00+00:00,1,0.1555634526377757
MDH-0310-4546,2024-07-09 20:00:00+00:00,0,0.04153817760094634
MDH-0355-8174,2024-07-09 19:00:00+00:00,1,0.2586271070916556
MDH-0362-3149,2024-07-09 19:00:00+00:00,1,0.8661927300208533
MDH-0365-3706,2024-07-09 19:00:00+00:00,0,0.14421874946972385
MDH-0373-2528,2024-07-09 19:00:00+00:00,0,0.043951628123166456
MDH-0380-0515,2024-07-09 20:00:00+00:00,0,0.2945870246051197
MDH-0384-4742,2024-07-09 19:00:00+00:00,0,0.0458658302478052
MDH-0387-0178,2024-07-09 19:00:00+00:00,0,0.036193086070021044
MDH-0400-2616,2024-07-09 19:00:00+00:00,1,0.30115061544589206
MDH-0439-4705,2024-07-09 20:00:00+00:00,0,0.8641819426717432
MDH-0456-1935,2024-07-09 19:00:00+00:00,0,0.042268964046417404
MDH-0459-3201,2024-07-09 20:00:00+00:00,0,0.06423121566809253
MDH-0464-5451,2024-07-09 20:00:00+00:00,1,0.3565951149477191
MDH-0469-9844,2024-07-09 19:00:00+00:00,0,0.03876868051163976
MDH-0484-2565,2024-07-09 19:00:00+00:00,0,0.33543717185277827
MDH-0501-3188,2024-07-09 21:00:00+00:00,0,0.30656666197515997
MDH-0502-2932,2024-07-09 19:00:00+00:00,1,0.7821962334526289
MDH-0509-1157,2024-07-09 20:00:00+00:00,0,0.04195885208072516
MDH-0512-8530,2024-07-09 19:00:00+00:00,0,0.24959667251472473
MDH-0522-4755,2024-07-09 20:00:00+00:00,0,0.3837018484679945
MDH-0524-6939,2024-07-09 19:00:00+00:00,1,0.31576708427891786
MDH-0531-1007,2024-07-09 19:00:00+00:00,0,0.3873447669750911
MDH-0540-9035,2024-07-09 19:00:00+00:00,0,0.11194686031384843
MDH-0543-3371,2024-07-09 19:00:00+00:00,1,0.30261437495821214
